D:\Data\zcb\2012-12-29-Au2.b\005SMPL.d
强度 vs 时间,计数
0.515,0.00
0.518,0.00
0.522,0.00
0.525,0.00
0.529,0.00
0.532,0.00
0.536,0.00
0.539,0.00
0.543,0.00
0.546,0.00
0.550,0.00
0.553,0.00
0.557,0.00
0.560,0.00
0.564,0.00
0.567,0.00
0.571,0.00
0.574,0.00
0.578,0.00
0.581,0.00
0.585,0.00
0.588,0.00
0.592,0.00
0.595,0.00
0.599,0.00
0.602,0.00
0.606,0.00
0.609,0.00
0.613,0.00
0.616,0.00
0.620,0.00
0.623,0.00
0.627,0.00
0.630,0.00
0.634,0.00
0.637,0.00
0.641,0.00
0.644,0.00
0.648,0.00
0.651,0.00
0.655,0.00
0.658,0.00
0.662,0.00
0.665,0.00
0.669,0.00
0.672,0.00
0.676,0.00
0.679,0.00
0.682,0.00
0.686,0.00
0.690,0.00
0.693,0.00
0.697,0.00
0.701,0.00
0.704,0.00
0.708,0.00
0.711,0.00
0.715,0.00
0.718,0.00
0.722,0.00
0.725,0.00
0.729,0.00
0.732,0.00
0.736,0.00
0.739,0.00
0.743,0.00
0.746,0.00
0.750,0.00
0.753,0.00
0.757,1.00
0.760,0.00
0.764,0.00
0.767,1.00
0.771,0.00
0.774,0.00
0.778,0.00
0.781,0.00
0.785,0.00
0.788,0.00
0.792,0.00
0.795,0.00
0.799,0.00
0.802,0.00
0.806,0.00
0.809,0.00
0.813,0.00
0.816,0.00
0.820,0.00
0.823,0.00
0.827,0.00
0.830,0.00
0.834,0.00
0.837,0.00
0.841,0.00
0.844,0.00
0.848,0.00
0.851,0.00
0.855,0.00
0.858,0.00
0.862,0.00
0.865,0.00
0.869,0.00
0.872,0.00
0.876,0.00
0.879,0.00
0.883,0.00
0.886,0.00
0.890,0.00
0.893,0.00
0.897,0.00
0.900,0.00
0.904,0.00
0.907,0.00
0.911,1.00
0.914,0.00
0.918,0.00
0.921,0.00
0.925,0.00
0.928,0.00
0.932,0.00
0.935,0.00
0.938,0.00
0.942,0.00
0.946,0.00
0.949,0.00
0.953,0.00
0.956,0.00
0.960,0.00
0.963,0.00
0.967,0.00
0.970,0.00
0.974,169.32
0.977,0.00
0.981,0.00
0.984,0.00
0.988,0.00
0.991,0.00
0.995,0.00
0.998,0.00
1.002,0.00
1.005,0.00
1.009,0.00
1.012,0.00
1.016,0.00
1.019,0.00
1.023,0.00
1.026,0.00
1.030,0.00
1.033,0.00
1.037,0.00
1.040,0.00
1.044,0.00
1.047,0.00
1.051,0.00
1.054,0.00
1.058,0.00
1.061,0.00
1.065,0.00
1.068,0.00
1.072,0.00
1.075,0.00
1.079,0.00
1.082,0.00
1.086,0.00
1.089,0.00
1.093,0.00
1.096,0.00
1.100,0.00
1.103,0.00
1.107,0.00
1.110,0.00
1.114,0.00
1.117,0.00
1.121,0.00
1.124,0.00
1.128,0.00
1.130,0.00
1.135,0.00
1.138,0.00
1.142,0.00
1.145,0.00
1.149,0.00
1.152,130.19
1.156,0.00
1.159,0.00
1.163,0.00
1.166,0.00
1.170,0.00
1.173,0.00
1.177,0.00
1.180,0.00
1.184,0.00
1.187,0.00
1.191,0.00
1.194,0.00
1.198,2.00
1.201,0.00
1.205,0.00
1.208,0.00
1.212,0.00
1.215,0.00
1.219,0.00
1.222,0.00
1.226,0.00
1.229,0.00
1.233,0.00
1.236,0.00
1.240,173.34
1.243,0.00
1.247,0.00
1.250,0.00
1.254,0.00
1.257,0.00
1.261,0.00
1.264,0.00
1.268,0.00
1.271,0.00
1.275,0.00
1.278,0.00
1.282,0.00
1.286,0.00
1.289,1.00
1.293,0.00
1.296,0.00
1.300,0.00
1.303,0.00
1.307,0.00
1.310,0.00
1.314,0.00
1.317,0.00
1.321,0.00
1.324,0.00
1.328,0.00
1.331,0.00
1.335,0.00
1.338,0.00
1.342,0.00
1.345,0.00
1.349,0.00
1.352,0.00
1.356,0.00
1.359,0.00
1.363,0.00
1.366,0.00
1.370,0.00
1.373,0.00
1.377,0.00
1.380,0.00
1.384,0.00
1.386,0.00
1.391,0.00
1.394,0.00
1.398,0.00
1.401,0.00
1.405,0.00
1.408,0.00
1.412,0.00
1.415,0.00
1.419,0.00
1.422,0.00
1.426,0.00
1.429,0.00
1.433,0.00
1.436,0.00
1.440,0.00
1.443,0.00
1.447,0.00
1.450,0.00
1.454,0.00
1.457,0.00
1.461,0.00
1.464,0.00
1.468,0.00
1.471,0.00
1.475,0.00
1.478,0.00
1.482,0.00
1.485,0.00
1.489,0.00
1.492,0.00
1.496,0.00
1.499,0.00
1.503,0.00
1.506,0.00
1.510,0.00
1.513,0.00
1.517,0.00
1.520,0.00
1.524,0.00
1.527,0.00
1.531,9.00
1.534,0.00
1.538,0.00
1.541,0.00
1.545,0.00
1.548,0.00
1.552,0.00
1.555,0.00
1.559,0.00
1.562,0.00
1.566,0.00
1.569,0.00
1.573,0.00
1.576,0.00
1.580,2.00
1.583,0.00
1.587,0.00
1.590,0.00
1.594,0.00
1.597,0.00
1.601,0.00
1.604,0.00
1.608,0.00
1.611,0.00
1.615,0.00
1.618,0.00
1.622,0.00
1.625,0.00
1.629,0.00
1.632,0.00
1.636,0.00
1.639,0.00
1.642,0.00
1.646,0.00
1.650,0.00
1.653,0.00
1.657,0.00
1.660,0.00
1.664,0.00
1.667,0.00
1.671,0.00
1.674,0.00
1.678,0.00
1.681,0.00
1.685,0.00
1.688,0.00
1.692,0.00
1.695,2.00
1.699,0.00
1.702,0.00
1.706,0.00
1.709,0.00
1.713,0.00
1.716,0.00
1.720,0.00
1.723,0.00
1.727,0.00
1.730,0.00
1.734,0.00
1.737,0.00
1.741,0.00
1.744,0.00
1.748,0.00
1.751,0.00
1.755,0.00
1.758,0.00
1.762,0.00
1.765,0.00
1.769,0.00
1.772,0.00
1.776,0.00
1.779,0.00
1.783,0.00
1.786,0.00
1.790,0.00
1.793,0.00
1.797,0.00
1.800,0.00
1.804,0.00
1.807,0.00
1.811,131.19
1.814,0.00
1.818,0.00
1.821,0.00
1.825,0.00
1.828,0.00
1.832,0.00
1.834,0.00
1.839,0.00
1.842,1.00
1.846,0.00
1.849,0.00
1.853,0.00
1.856,0.00
1.860,0.00
1.864,0.00
1.867,0.00
1.871,0.00
1.874,0.00
1.878,0.00
1.881,0.00
1.885,0.00
1.888,0.00
1.892,0.00
1.895,0.00
1.898,0.00
1.902,0.00
1.906,0.00
1.909,0.00
1.913,0.00
1.916,0.00
1.920,0.00
1.923,0.00
1.927,0.00
1.930,2.00
1.934,0.00
1.937,0.00
1.941,0.00
1.944,0.00
1.948,0.00
1.951,0.00
1.955,0.00
1.958,0.00
1.962,0.00
1.965,7.00
1.969,1.00
1.972,0.00
1.976,0.00
1.979,0.00
1.983,0.00
1.986,0.00
1.990,0.00
1.993,0.00
1.997,0.00
2.000,0.00
2.004,0.00
2.007,0.00
2.011,0.00
2.014,0.00
2.018,0.00
2.021,0.00
2.025,0.00
2.028,0.00
2.032,0.00
2.035,244.67
2.039,0.00
2.042,0.00
2.046,0.00
2.049,0.00
2.053,0.00
2.056,0.00
2.060,0.00
2.063,0.00
2.067,0.00
2.070,0.00
2.074,0.00
2.077,0.00
2.081,0.00
2.084,0.00
2.088,0.00
2.090,0.00
2.095,0.00
2.098,0.00
2.102,0.00
2.105,0.00
2.109,38.02
2.112,0.00
2.116,0.00
2.119,0.00
2.123,0.00
2.126,0.00
2.130,0.00
2.133,0.00
2.137,0.00
2.140,0.00
2.144,0.00
2.147,0.00
2.151,0.00
2.154,0.00
2.158,0.00
2.161,0.00
2.165,0.00
2.168,0.00
2.172,0.00
2.175,0.00
2.179,0.00
2.182,0.00
2.186,0.00
2.189,0.00
2.193,0.00
2.196,0.00
2.200,0.00
2.203,0.00
2.207,0.00
2.210,0.00
2.214,0.00
2.217,0.00
2.221,0.00
2.224,0.00
2.228,0.00
2.231,0.00
2.235,0.00
2.238,0.00
2.242,0.00
2.245,0.00
2.249,0.00
2.252,0.00
2.256,0.00
2.259,0.00
2.263,0.00
2.266,0.00
2.270,0.00
2.273,0.00
2.277,0.00
2.280,0.00
2.284,0.00
2.287,0.00
2.291,0.00
2.294,0.00
2.298,0.00
2.301,0.00
2.305,0.00
2.308,0.00
2.312,0.00
2.315,0.00
2.319,0.00
2.322,0.00
2.326,0.00
2.329,1.00
2.333,0.00
2.336,0.00
2.340,0.00
2.343,0.00
2.346,0.00
2.350,0.00
2.354,0.00
2.357,0.00
2.361,0.00
2.364,0.00
2.368,0.00
2.371,0.00
2.375,0.00
2.378,0.00
2.382,0.00
2.385,0.00
2.389,0.00
2.392,0.00
2.396,0.00
2.399,0.00
2.403,0.00
2.406,0.00
2.410,0.00
2.413,0.00
2.417,0.00
2.420,0.00
2.424,0.00
2.427,0.00
2.431,0.00
2.434,0.00
2.438,0.00
2.441,0.00
2.445,0.00
2.449,0.00
2.452,0.00
2.456,0.00
2.459,0.00
2.463,0.00
2.466,0.00
2.470,0.00
2.473,0.00
2.477,0.00
2.480,0.00
2.484,0.00
2.487,0.00
2.491,0.00
2.494,0.00
2.498,0.00
2.501,0.00
2.505,12.00
2.508,1.00
2.512,0.00
2.515,0.00
2.519,0.00
2.522,0.00
2.526,0.00
2.529,0.00
2.533,0.00
2.536,0.00
2.540,0.00
2.543,0.00
2.547,0.00
2.550,0.00
2.554,0.00
2.557,0.00
2.561,0.00
2.564,0.00
2.568,0.00
2.571,0.00
2.575,0.00
2.578,0.00
2.582,0.00
2.585,0.00
2.589,0.00
2.592,0.00
2.596,0.00
2.599,0.00
2.602,0.00
2.606,0.00
2.610,0.00
2.613,0.00
2.617,0.00
2.620,0.00
2.624,0.00
2.627,0.00
2.631,0.00
2.634,0.00
2.638,0.00
2.641,1.00
2.645,0.00
2.648,0.00
2.652,169.32
2.655,1.00
2.659,0.00
2.662,0.00
2.666,0.00
2.669,0.00
2.673,0.00
2.676,83.08
2.680,0.00
2.683,0.00
2.687,0.00
2.690,0.00
2.694,0.00
2.697,0.00
2.701,0.00
2.704,0.00
2.708,0.00
2.711,0.00
2.715,0.00
2.718,0.00
2.722,0.00
2.725,0.00
2.729,0.00
2.732,0.00
2.736,0.00
2.739,0.00
2.743,0.00
2.746,0.00
2.750,0.00
2.753,0.00
2.757,0.00
2.760,0.00
2.764,0.00
2.767,0.00
2.771,0.00
2.774,0.00
2.778,0.00
2.781,0.00
2.785,0.00
2.788,0.00
2.792,0.00
2.794,0.00
2.799,0.00
2.802,0.00
2.806,0.00
2.809,140.22
2.813,0.00
2.816,0.00
2.820,0.00
2.823,0.00
2.827,0.00
2.830,0.00
2.834,0.00
2.837,0.00
2.841,0.00
2.844,0.00
2.848,0.00
2.851,0.00
2.855,0.00
2.858,0.00
2.862,0.00
2.865,6.00
2.869,0.00
2.872,0.00
2.876,0.00
2.879,0.00
2.883,0.00
2.886,0.00
2.890,0.00
2.893,0.00
2.897,0.00
2.900,0.00
2.904,1.00
2.907,0.00
2.911,0.00
2.914,0.00
2.918,0.00
2.921,0.00
2.925,0.00
2.928,0.00
2.932,0.00
2.935,0.00
2.939,181.37
2.942,0.00
2.946,0.00
2.949,0.00
2.953,0.00
2.956,0.00
2.960,0.00
2.963,0.00
2.967,0.00
2.970,0.00
2.974,0.00
2.977,0.00
2.981,0.00
2.984,1.00
2.988,0.00
2.991,0.00
2.995,0.00
2.998,0.00
3.002,0.00
3.005,0.00
3.009,0.00
3.012,0.00
3.016,0.00
3.019,0.00
3.023,0.00
3.026,0.00
3.030,1.00
3.034,0.00
3.037,0.00
3.041,0.00
3.044,4.00
3.048,0.00
3.050,0.00
3.055,0.00
3.058,0.00
3.062,0.00
3.065,0.00
3.069,0.00
3.072,8.00
3.076,0.00
3.079,0.00
3.083,0.00
3.086,0.00
3.090,0.00
3.093,0.00
3.097,1.00
3.100,0.00
3.104,0.00
3.107,0.00
3.111,0.00
3.114,0.00
3.118,0.00
3.121,0.00
3.125,0.00
3.128,0.00
3.132,0.00
3.135,2.00
3.139,0.00
3.142,0.00
3.146,0.00
3.149,0.00
3.153,0.00
3.156,0.00
3.160,1.00
3.163,0.00
3.167,0.00
3.170,0.00
3.174,0.00
3.177,0.00
3.181,0.00
3.184,0.00
3.188,0.00
3.191,0.00
3.195,0.00
3.198,0.00
3.202,0.00
3.205,0.00
3.209,0.00
3.212,0.00
3.216,0.00
3.219,0.00
3.223,0.00
3.226,0.00
3.230,0.00
3.233,0.00
3.237,0.00
3.240,0.00
3.244,1.00
3.247,0.00
3.251,0.00
3.254,0.00
3.258,0.00
3.261,0.00
3.265,0.00
3.268,0.00
3.272,0.00
3.275,0.00
3.279,0.00
3.282,0.00
3.286,0.00
3.289,1.00
3.293,0.00
3.296,0.00
3.300,0.00
3.303,0.00
3.306,0.00
3.310,0.00
3.314,0.00
3.317,0.00
3.321,0.00
3.324,0.00
3.328,0.00
3.331,0.00
3.335,0.00
3.338,0.00
3.342,0.00
3.345,0.00
3.349,0.00
3.352,0.00
3.356,0.00
3.359,0.00
3.363,0.00
3.366,0.00
3.370,0.00
3.373,0.00
3.377,0.00
3.380,0.00
3.384,0.00
3.387,0.00
3.391,0.00
3.394,0.00
3.398,0.00
3.401,0.00
3.405,0.00
3.408,0.00
3.412,0.00
3.415,0.00
3.419,0.00
3.422,0.00
3.426,0.00
3.429,0.00
3.433,0.00
3.436,0.00
3.440,0.00
3.443,0.00
3.447,0.00
3.450,0.00
3.454,0.00
3.457,0.00
3.461,0.00
3.464,0.00
3.468,0.00
3.471,0.00
3.475,0.00
3.478,0.00
3.482,77.07
3.485,21.00
3.489,2.00
3.492,0.00
3.496,0.00
3.498,0.00
3.503,0.00
3.506,0.00
3.510,2.00
3.513,0.00
3.517,0.00
3.520,0.00
3.524,0.00
3.527,0.00
3.531,0.00
3.534,0.00
3.538,0.00
3.541,0.00
3.545,0.00
3.548,0.00
3.552,0.00
3.555,0.00
3.559,0.00
3.562,0.00
3.566,0.00
3.569,0.00
3.573,0.00
3.576,0.00
3.580,0.00
3.583,0.00
3.587,0.00
3.590,0.00
3.594,0.00
3.597,0.00
3.601,0.00
3.604,0.00
3.608,0.00
3.612,0.00
3.615,1.00
3.619,0.00
3.622,0.00
3.626,0.00
3.629,0.00
3.633,0.00
3.636,0.00
3.640,0.00
3.643,0.00
3.647,0.00
3.650,0.00
3.654,0.00
3.657,0.00
3.661,0.00
3.664,0.00
3.668,0.00
3.671,0.00
3.675,0.00
3.678,0.00
3.682,0.00
3.685,0.00
3.689,0.00
3.692,0.00
3.696,0.00
3.699,0.00
3.703,0.00
3.706,0.00
3.710,0.00
3.713,0.00
3.717,0.00
3.720,0.00
3.724,0.00
3.727,0.00
3.731,0.00
3.734,0.00
3.738,0.00
3.741,0.00
3.745,0.00
3.748,0.00
3.752,0.00
3.754,0.00
3.759,0.00
3.762,0.00
3.766,0.00
3.769,0.00
3.773,0.00
3.776,0.00
3.780,0.00
3.783,0.00
3.787,0.00
3.790,0.00
3.794,0.00
3.797,0.00
3.801,2.00
3.804,0.00
3.808,0.00
3.811,0.00
3.815,0.00
3.818,0.00
3.822,0.00
3.825,0.00
3.829,0.00
3.832,0.00
3.836,0.00
3.839,0.00
3.843,0.00
3.846,0.00
3.850,0.00
3.853,0.00
3.857,0.00
3.860,0.00
3.864,0.00
3.867,0.00
3.871,0.00
3.874,0.00
3.878,0.00
3.881,0.00
3.885,1.00
3.888,0.00
3.892,0.00
3.895,0.00
3.899,0.00
3.902,0.00
3.906,0.00
3.909,0.00
3.913,0.00
3.916,0.00
3.920,0.00
3.923,0.00
3.927,0.00
3.930,0.00
3.934,0.00
3.937,0.00
3.941,0.00
3.944,0.00
3.948,0.00
3.951,0.00
3.955,0.00
3.958,0.00
3.962,0.00
3.965,0.00
3.969,0.00
3.972,0.00
3.976,0.00
3.979,0.00
3.983,0.00
3.986,0.00
3.990,160.29
3.993,0.00
3.997,0.00
4.000,0.00
4.004,0.00
4.007,0.00
4.010,0.00
4.014,0.00
4.018,0.00
4.021,0.00
4.025,0.00
4.028,0.00
4.032,0.00
4.035,1.00
4.039,0.00
4.042,0.00
4.046,0.00
4.049,0.00
4.053,0.00
4.056,0.00
4.060,0.00
4.063,0.00
4.067,0.00
4.070,0.00
4.074,0.00
4.077,0.00
4.081,0.00
4.084,0.00
4.088,0.00
4.091,0.00
4.095,0.00
4.098,0.00
4.102,0.00
4.105,0.00
4.109,0.00
4.112,0.00
4.116,0.00
4.119,0.00
4.123,0.00
4.126,0.00
4.130,0.00
4.133,0.00
4.137,0.00
4.140,0.00
4.144,0.00
4.147,0.00
4.151,0.00
4.154,0.00
4.158,0.00
4.161,0.00
4.165,0.00
4.168,0.00
4.172,0.00
4.175,18.00
4.179,0.00
4.182,0.00
4.186,0.00
4.189,0.00
4.193,0.00
4.197,0.00
4.200,0.00
4.204,0.00
4.207,0.00
4.211,0.00
4.214,0.00
4.218,0.00
4.221,0.00
4.225,0.00
4.228,0.00
4.232,0.00
4.235,0.00
4.239,0.00
4.242,0.00
4.246,0.00
4.249,0.00
4.253,0.00
4.256,0.00
4.260,0.00
4.263,0.00
4.266,0.00
4.270,0.00
4.274,0.00
4.277,0.00
4.281,0.00
4.284,0.00
4.288,85.08
4.291,16.00
4.295,0.00
4.298,0.00
4.302,0.00
4.305,0.00
4.309,0.00
4.312,0.00
4.316,0.00
4.319,0.00
4.323,0.00
4.326,0.00
4.330,1.00
4.333,0.00
4.337,0.00
4.340,0.00
4.344,0.00
4.347,0.00
4.351,0.00
4.354,0.00
4.358,0.00
4.361,0.00
4.365,0.00
4.368,0.00
4.372,0.00
4.375,0.00
4.379,0.00
4.382,195.43
4.386,2.00
4.389,0.00
4.393,0.00
4.396,0.00
4.400,0.00
4.403,0.00
4.407,0.00
4.410,0.00
4.414,0.00
4.417,2.00
4.421,0.00
4.424,0.00
4.428,0.00
4.431,0.00
4.435,0.00
4.438,0.00
4.442,0.00
4.445,0.00
4.449,0.00
4.452,0.00
4.456,0.00
4.458,0.00
4.463,1.00
4.466,0.00
4.470,0.00
4.473,0.00
4.477,0.00
4.480,0.00
4.484,0.00
4.487,0.00
4.491,0.00
4.494,0.00
4.498,0.00
4.501,0.00
4.505,0.00
4.508,0.00
4.512,0.00
4.515,0.00
4.519,0.00
4.522,0.00
4.526,0.00
4.529,0.00
4.533,0.00
4.536,0.00
4.540,240.65
4.543,0.00
4.547,0.00
4.550,0.00
4.554,1.00
4.557,155.27
4.561,0.00
4.564,1.00
4.568,0.00
4.571,0.00
4.575,0.00
4.578,0.00
4.582,0.00
4.585,0.00
4.589,0.00
4.592,0.00
4.596,0.00
4.599,0.00
4.603,0.00
4.606,0.00
4.610,0.00
4.613,0.00
4.617,0.00
4.620,0.00
4.624,0.00
4.627,0.00
4.631,0.00
4.634,0.00
4.638,0.00
4.641,100.11
4.645,0.00
4.648,0.00
4.652,0.00
4.655,0.00
4.659,0.00
4.662,0.00
4.666,0.00
4.669,0.00
4.673,0.00
4.676,0.00
4.680,0.00
4.683,0.00
4.687,0.00
4.690,0.00
4.694,0.00
4.697,1.00
4.701,0.00
4.704,0.00
4.708,0.00
4.711,0.00
4.714,0.00
4.718,0.00
4.722,0.00
4.725,0.00
4.729,0.00
4.732,0.00
4.736,0.00
4.739,1.00
4.743,0.00
4.746,0.00
4.750,0.00
4.753,0.00
4.757,0.00
4.760,198.44
4.764,0.00
4.767,0.00
4.771,0.00
4.774,0.00
4.778,0.00
4.782,0.00
4.785,0.00
4.789,0.00
4.792,0.00
4.796,0.00
4.799,0.00
4.803,1.00
4.806,0.00
4.810,0.00
4.813,0.00
4.817,0.00
4.820,0.00
4.824,0.00
4.827,0.00
4.831,0.00
4.834,1.00
4.838,0.00
4.841,0.00
4.845,0.00
4.848,0.00
4.852,0.00
4.855,0.00
4.859,0.00
4.862,0.00
4.866,0.00
4.869,0.00
4.873,0.00
4.876,1.00
4.880,107.13
4.883,1.00
4.887,0.00
4.890,0.00
4.894,0.00
4.897,0.00
4.901,2.00
4.904,0.00
4.908,0.00
4.911,0.00
4.915,0.00
4.918,0.00
4.922,0.00
4.925,0.00
4.929,0.00
4.932,0.00
4.936,0.00
4.939,0.00
4.943,0.00
4.946,0.00
4.950,0.00
4.953,0.00
4.957,0.00
4.960,0.00
4.964,0.00
4.967,0.00
4.970,0.00
4.974,0.00
4.978,0.00
4.981,0.00
4.985,0.00
4.988,0.00
4.992,0.00
4.995,0.00
4.999,0.00
5.002,0.00
5.006,0.00
5.009,0.00
5.013,0.00
5.016,0.00
5.020,0.00
5.023,0.00
5.027,0.00
5.030,0.00
5.034,0.00
5.037,0.00
5.041,0.00
5.044,0.00
5.048,0.00
5.051,0.00
5.055,0.00
5.058,0.00
5.062,2.00
5.065,0.00
5.069,0.00
5.072,0.00
5.076,0.00
5.079,0.00
5.083,0.00
5.086,0.00
5.090,0.00
5.093,0.00
5.097,0.00
5.100,0.00
5.104,0.00
5.107,0.00
5.111,0.00
5.114,0.00
5.118,0.00
5.121,0.00
5.125,0.00
5.128,0.00
5.132,0.00
5.135,0.00
5.139,0.00
5.142,0.00
5.146,0.00
5.149,0.00
5.153,0.00
5.156,0.00
5.160,0.00
5.162,1.00
5.167,0.00
5.170,0.00
5.174,0.00
5.177,0.00
5.181,0.00
5.184,0.00
5.188,0.00
5.191,0.00
5.195,0.00
5.198,0.00
5.202,0.00
5.205,0.00
5.209,0.00
5.212,0.00
5.216,0.00
5.219,0.00
5.223,0.00
5.226,0.00
5.230,0.00
5.233,0.00
5.237,0.00
5.240,0.00
5.244,0.00
5.247,0.00
5.251,0.00
5.254,0.00
5.258,154.27
5.261,0.00
5.265,0.00
5.268,0.00
5.272,0.00
5.275,0.00
5.279,0.00
5.282,0.00
5.286,0.00
5.289,0.00
5.293,0.00
5.296,0.00
5.300,0.00
5.303,0.00
5.307,0.00
5.310,0.00
5.314,0.00
5.317,0.00
5.321,0.00
5.324,0.00
5.328,0.00
5.331,0.00
5.335,0.00
5.338,0.00
5.342,0.00
5.345,0.00
5.349,0.00
5.352,0.00
5.356,0.00
5.360,0.00
5.363,0.00
5.367,0.00
5.370,0.00
5.374,0.00
5.377,0.00
5.381,0.00
5.384,0.00
5.388,0.00
5.391,0.00
5.395,126.18
5.398,0.00
5.402,0.00
5.405,0.00
5.409,0.00
5.412,0.00
5.416,0.00
5.418,0.00
5.423,0.00
5.426,0.00
5.430,0.00
5.433,0.00
5.437,0.00
5.440,0.00
5.444,0.00
5.447,0.00
5.451,0.00
5.454,0.00
5.458,0.00
5.461,0.00
5.465,0.00
5.468,1.00
5.472,0.00
5.475,0.00
5.479,0.00
5.482,0.00
5.486,0.00
5.489,0.00
5.493,0.00
5.496,0.00
5.500,0.00
5.503,0.00
5.507,0.00
5.510,0.00
5.514,0.00
5.517,0.00
5.521,0.00
5.524,0.00
5.528,0.00
5.531,2.00
5.535,0.00
5.538,0.00
5.542,0.00
5.545,0.00
5.549,0.00
5.552,0.00
5.556,0.00
5.559,0.00
5.563,136.21
5.566,0.00
5.570,0.00
5.573,0.00
5.577,0.00
5.580,0.00
5.584,0.00
5.587,0.00
5.591,0.00
5.594,0.00
5.598,0.00
5.601,0.00
5.605,0.00
5.608,0.00
5.612,0.00
5.615,0.00
5.619,0.00
5.622,0.00
5.626,0.00
5.629,1.00
5.633,0.00
5.636,0.00
5.640,0.00
5.643,0.00
5.647,0.00
5.650,1.00
5.654,0.00
5.657,0.00
5.661,0.00
5.664,0.00
5.668,0.00
5.671,0.00
5.674,0.00
5.678,0.00
5.682,0.00
5.685,0.00
5.689,0.00
5.692,139.22
5.696,0.00
5.699,0.00
5.703,0.00
5.706,0.00
5.710,0.00
5.713,0.00
5.717,0.00
5.720,0.00
5.724,0.00
5.727,0.00
5.731,0.00
5.734,0.00
5.738,0.00
5.741,0.00
5.745,0.00
5.748,0.00
5.752,0.00
5.755,0.00
5.759,0.00
5.762,0.00
5.766,0.00
5.769,0.00
5.773,0.00
5.776,0.00
5.780,0.00
5.783,0.00
5.787,0.00
5.790,0.00
5.794,0.00
5.797,0.00
5.801,0.00
5.804,0.00
5.808,0.00
5.811,0.00
5.815,0.00
5.818,0.00
5.822,0.00
5.825,0.00
5.829,0.00
5.832,0.00
5.836,0.00
5.839,0.00
5.843,0.00
5.846,0.00
5.850,0.00
5.853,0.00
5.857,0.00
5.860,0.00
5.864,0.00
5.866,0.00
5.871,0.00
5.874,0.00
5.878,1.00
5.881,0.00
5.885,0.00
5.888,0.00
5.892,1.00
5.895,0.00
5.899,0.00
5.902,0.00
5.906,1.00
5.909,0.00
5.913,0.00
5.916,0.00
5.920,0.00
5.923,0.00
5.927,0.00
5.930,0.00
5.934,0.00
5.937,0.00
5.941,0.00
5.945,0.00
5.948,0.00
5.952,1.00
5.955,0.00
5.959,0.00
5.962,0.00
5.966,0.00
5.969,0.00
5.973,0.00
5.976,0.00
5.980,0.00
5.983,0.00
5.987,0.00
5.990,0.00
5.994,0.00
5.997,0.00
6.001,0.00
6.004,0.00
6.008,0.00
6.011,0.00
6.015,0.00
6.018,0.00
6.022,0.00
6.025,0.00
6.029,0.00
6.032,18.00
6.036,65.05
6.039,1.00
6.043,0.00
6.046,0.00
6.050,0.00
6.053,0.00
6.057,0.00
6.060,0.00
6.063,0.00
6.067,0.00
6.071,0.00
6.074,0.00
6.078,0.00
6.081,0.00
